"row_id","cgid","label","description"
2230,16176,"Res","Resident/Fellow/PA/NP"
2232,16178,"RT","Respiratory"
2233,16179,"Res","Resident/Fellow/PA/NP"
2235,16181,"MD",""
2236,16182,"CM","Case Manager"
2238,16184,"RN","RN"
2241,16187,"RN","RN"
2242,16188,"SW","Social Worker"
2245,16191,"MD",""
2246,16192,"RO","Read Only"
2247,16193,"Res","Resident/Fellow/PA/NP"
2249,16195,"RO","Read Only"
2252,16198,"MDs","Resident/Fellow/PA/NP"
2253,16199,"MD",""
2254,16200,"RN","RN"
2256,16202,"NP","Read Only"
2260,16206,"MD",""
2261,16207,"MD",""
2262,16208,"MD",""
2264,16210,"RO","Read Only"
2265,16211,"RPh","Pharmacist"
2267,16213,"Rehab","Rehabilitation"
2268,16214,"Res","Resident/Fellow/PA/NP"
2269,16215,"MD","Attending"
2270,16216,"Res","Resident/Fellow/PA/NP"
2272,16218,"SRT",""
2275,16221,"RO","Read Only"
2277,16223,"RD","Dietitian"
2278,16224,"PCT","PCT/NA"
2279,16225,"MD",""
2280,16226,"Res","Resident/Fellow/PA/NP"
2282,16228,"Res","Resident/Fellow/PA/NP"
2284,16230,"MD",""
2285,16231,"RO","Read Only"
2286,16232,"RO","Read Only"
2287,16233,"CM","Case Manager"
2288,16234,"RN","RN"
2291,16237,"MD","Attending"
2293,16239,"Res","Resident/Fellow/PA/NP"
2294,16240,"Admin","Administrator"
2296,16242,"RO","Read Only"
2297,16243,"Res","Resident/Fellow/PA/NP"
2298,16244,"RO","Read Only"
2299,16245,"Res","Resident/Fellow/PA/NP"
2300,16246,"RN","RN"
2301,16247,"Res","Resident/Fellow/PA/NP"
2302,16248,"PCT","PCT/NA"
2304,16250,"MD","Read Only"
2305,16251,"Res","Resident/Fellow/PA/NP"
2306,16252,"UCO",""
2307,16253,"MD",""
2308,16254,"PC","Pastoral Care"
2309,16255,"RO","Read Only"
2310,16256,"Rehab","Rehabilitation"
2311,16257,"MD","Attending"
2313,16259,"Res","Resident/Fellow/PA/NP"
2314,16260,"Res","Resident/Fellow/PA/NP"
2315,16261,"RO","Read Only"
2316,16262,"Res","Resident/Fellow/PA/NP"
2317,16263,"Res","Resident/Fellow/PA/NP"
2318,16264,"RN","RN"
2319,16265,"RO","Read Only"
2320,16266,"RPH","Pharmacist"
2324,16270,"Res","Resident/Fellow/PA/NP"
2325,16271,"Res","Resident/Fellow/PA/NP"
2327,16273,"RN","RN"
2328,16274,"RRT",""
2329,16275,"RO","Read Only"
2330,16276,"MD","Resident/Fellow/PA/NP"
2331,16277,"MD",""
2336,16282,"Res","Resident/Fellow/PA/NP"
2337,16283,"Res","Resident/Fellow/PA/NP"
2338,16284,"RN","RN"
2341,16287,"MDs","Read Only"
2342,16288,"RN",""
2343,16289,"Res","Resident/Fellow/PA/NP"
2344,16290,"RO","Read Only"
2345,16291,"RO","Read Only"
2346,16292,"RO","Read Only"
2348,16294,"RN","RN"
2349,16295,"Rehab","Rehabilitation"
2350,16296,"RO","Read Only"
