"row_id","icd9_code","short_title","long_title"
3,"01721","TB periph lymph-no exam","Tuberculosis of peripheral lymph nodes, bacteriological or histological examination not done"
5,"01723","TB periph lymph-micro dx","Tuberculosis of peripheral lymph nodes, tubercle bacilli found (in sputum) by microscopy"
6,"01724","TB periph lymph-cult dx","Tuberculosis of peripheral lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
8,"01726","TB periph lymph-oth test","Tuberculosis of peripheral lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
9,"01730","TB of eye-unspec","Tuberculosis of eye, unspecified"
11,"01732","TB of eye-exam unkn","Tuberculosis of eye, bacteriological or histological examination unknown (at present)"
14,"01735","TB of eye-histo dx","Tuberculosis of eye, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
15,"01736","TB of eye-oth test","Tuberculosis of eye, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
18,"01742","TB of ear-exam unkn","Tuberculosis of ear, bacteriological or histological examination unknown (at present)"
19,"01743","TB of ear-micro dx","Tuberculosis of ear, tubercle bacilli found (in sputum) by microscopy"
20,"01744","TB of ear-cult dx","Tuberculosis of ear, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
22,"01746","TB of ear-oth test","Tuberculosis of ear, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
25,"01752","TB of thyroid-exam unkn","Tuberculosis of thyroid gland, bacteriological or histological examination unknown (at present)"
26,"01753","TB of thyroid-micro dx","Tuberculosis of thyroid gland, tubercle bacilli found (in sputum) by microscopy"
27,"01754","TB of thyroid-cult dx","Tuberculosis of thyroid gland, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
29,"01756","TB of thyroid-oth test","Tuberculosis of thyroid gland, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
33,"01763","TB of adrenal-micro dx","Tuberculosis of adrenal glands, tubercle bacilli found (in sputum) by microscopy"
34,"01764","TB of adrenal-cult dx","Tuberculosis of adrenal glands, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
35,"01765","TB of adrenal-histo dx","Tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
37,"01770","TB of spleen-unspec","Tuberculosis of spleen, unspecified"
38,"01771","TB of spleen-no exam","Tuberculosis of spleen, bacteriological or histological examination not done"
40,"01773","TB of spleen-micro dx","Tuberculosis of spleen, tubercle bacilli found (in sputum) by microscopy"
41,"01774","TB of spleen-cult dx","Tuberculosis of spleen, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
42,"01775","TB of spleen-histo dx","Tuberculosis of spleen, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
43,"01776","TB of spleen-oth test","Tuberculosis of spleen, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
45,"01781","TB esophagus-no exam","Tuberculosis of esophagus, bacteriological or histological examination not done"
48,"01784","TB esophagus-cult dx","Tuberculosis of esophagus, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
50,"01786","TB esophagus-oth test","Tuberculosis of esophagus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
51,"01790","TB of organ NEC-unspec","Tuberculosis of other specified organs, unspecified"
52,"01791","TB of organ NEC-no exam","Tuberculosis of other specified organs, bacteriological or histological examination not done"
53,"0063","Amebic liver abscess","Amebic liver abscess"
55,"0065","Amebic brain abscess","Amebic brain abscess"
57,"0068","Amebic infection NEC","Amebic infection of other sites"
58,"0069","Amebiasis NOS","Amebiasis, unspecified"
59,"0070","Balantidiasis","Balantidiasis"
60,"0071","Giardiasis","Giardiasis"
61,"0072","Coccidiosis","Coccidiosis"
64,"0075","Cyclosporiasis","Cyclosporiasis"
66,"0079","Protozoal intest dis NOS","Unspecified protozoal intestinal disease"
67,"00800","Intest infec e coli NOS","Intestinal infection due to E. coli, unspecified"
69,"00802","Int inf e coli entrtoxgn","Intestinal infection due to enterotoxigenic E. coli"
70,"00803","Int inf e coli entrnvsv","Intestinal infection due to enteroinvasive E. coli"
71,"00804","Int inf e coli entrhmrg","Intestinal infection due to enterohemorrhagic E. coli"
72,"00809","Int inf e coli spcf NEC","Intestinal infection due to other intestinal E. coli infections"
73,"0081","Arizona enteritis","Intestinal infection due to arizona group of paracolon bacilli"
74,"0082","Aerobacter enteritis","Intestinal infection due to aerobacter aerogenes"
75,"0083","Proteus enteritis","Intestinal infection due to proteus (mirabilis) (morganii)"
77,"00842","Pseudomonas enteritis","Intestinal infection due to pseudomonas"
78,"00843","Int infec campylobacter","Intestinal infection due to campylobacter"
79,"00844","Int inf yrsnia entrcltca","Intestinal infection due to yersinia enterocolitica"
80,"00845","Int inf clstrdium dfcile","Intestinal infection due to Clostridium difficile"
81,"00846","Intes infec oth anerobes","Intestinal infection due to other anaerobes"
82,"00847","Int inf oth grm neg bctr","Intestinal infection due to other gram-negative bacteria"
