"row_id","icd9_code","short_title","long_title"
3,1425,"Chorioret les p/coag NOS","Destruction of chorioretinal lesion by photocoagulation of unspecified type"
5,1427,"Chorioret les rad implan","Destruction of chorioretinal lesion by implantation of radiation source"
6,1429,"Chorioret les destr NEC","Other destruction of chorioretinal lesion"
8,1432,"Retinal tear cryotherapy","Repair of retinal tear by cryotherapy"
9,1433,"Retinal tear xenon coag","Repair of retinal tear by xenon arc photocoagulation"
11,1435,"Retina tear photocoa NOS","Repair of retinal tear by photocoagulation of unspecified type"
14,1449,"Scleral buckling NEC","Other scleral buckling"
15,1451,"Detach retina-diathermy","Repair of retinal detachment with diathermy"
18,1454,"Detach retina laser coag","Repair of retinal detachment with laser photocoagulation"
19,1455,"Detach ret photocoag NOS","Repair of retinal detachment with photocoagulation of unspecified type"
20,1459,"Repair retina detach NEC","Other repair of retinal detachment"
22,1471,"Anterior remov vitreous","Removal of vitreous, anterior approach"
25,1474,"Mech vitrectomy NEC","Other mechanical vitrectomy"
26,1475,"Vitreous substitut injec","Injection of vitreous substitute"
27,1479,"Vitreous operation NEC","Other operations on vitreous"
29,1482,"Rem epiretinal prosth","Removal of epiretinal visual prosthesis"
33,1509,"Extraoc musc dx proc NEC","Other diagnostic procedures on extraocular muscles and tendons"
34,1511,"One extraoc mus recess","Recession of one extraocular muscle"
35,1512,"1 extraoc muscl advance","Advancement of one extraocular muscle"
37,1519,"Xtraoc mus op/detach NEC","Other operations on one extraocular muscle involving temporary detachment from globe"
38,1521,"Lengthen 1 extraoc musc","Lengthening procedure on one extraocular muscle"
40,1529,"Op on 1 extraoc musc NEC","Other operations on one extraocular muscle"
41,153,"Temp detach >1 xtroc mus","Operations on two or more extraocular muscles involving temporary detachment from globe, one or both eyes"
42,154,"Oth op on >l extraoc mus","Other operations on two or more extraocular muscles, one or both eyes"
43,155,"Extraocul mus transposit","Transposition of extraocular muscles"
45,157,"Extraoc musc inj repair","Repair of injury of extraocular muscle"
48,1721,"Lap bil dir ing hrn-grft","Laparoscopic bilateral repair of direct inguinal hernia with graft or prosthesis"
50,1723,"Lap bi dr/ind ing hrn-gr","Laparoscopic bilateral repair of inguinal hernia, one direct and one indirect, with graft or prosthesis"
51,1724,"Lap bil ing hern-grf NOS","Laparoscopic bilateral repair of inguinal hernia with graft or prosthesis, not otherwise specified"
52,1731,"Lap mul seg res lg intes","Laparoscopic multiple segmental resection of large intestine"
53,1732,"Laparoscopic cecectomy","Laparoscopic cecectomy"
55,1734,"Lap res transverse colon","Laparoscopic resection of transverse colon"
57,1736,"Lap sigmoidectomy","Laparoscopic sigmoidectomy"
58,1739,"Lap pt ex lrg intest NEC","Other laparoscopic partial excision of large intestine"
59,1601,"Orbitotomy w bone flap","Orbitotomy with bone flap"
60,1602,"Orbitotomy w implant","Orbitotomy with insertion of orbital implant"
61,1609,"Orbitotomy NEC","Other orbitotomy"
64,1622,"Diagnostic asp of orbit","Diagnostic aspiration of orbit"
66,1629,"Eyebal/orbit dx proc NEC","Other diagnostic procedures on orbit and eyeball"
67,1631,"Eye evisc w synch implan","Removal of ocular contents with synchronous implant into scleral shell"
69,1641,"Eye enuc/implan/musc att","Enucleation of eyeball with synchronous implant into Tenon's capsule with attachment of muscles"
70,1642,"Eye enuc w implant NEC","Enucleation of eyeball with other synchronous implant"
71,1649,"Eyeball enucleation NEC","Other enucleation of eyeball"
72,1651,"Radical orbitomaxillect","Exenteration of orbit with removal of adjacent structures"
73,1652,"Orbit exent w bone remov","Exenteration of orbit with therapeutic removal of orbital bone"
74,1659,"Orbital exenteration NEC","Other exenteration of orbit"
75,1661,"2ndry ocular imp insert","Secondary insertion of ocular implant"
77,1663,"Revis enuc socket w grft","Revision of enucleation socket with graft"
78,1664,"Enuc socket revis NEC","Other revision of enucleation socket"
79,1665,"2ndry exent cavity graft","Secondary graft to exenteration cavity"
80,1666,"Revis exenter cavity NEC","Other revision of exenteration cavity"
81,1669,"2nd op post eye rem NEC","Other secondary procedures after removal of eyeball"
82,1671,"Remove ocular implant","Removal of ocular implant"
83,1672,"Remove orbital implant","Removal of orbital implant"
84,1681,"Repair of orbital wound","Repair of wound of orbit"
86,64,"Perc ins extracran stent","Percutaneous insertion of other extracranial artery stent(s)"
87,65,"Perc ins intracran stent","Percutaneous insertion of intracranial vascular stent(s)"
88,66,"PTCA","Percutaneous transluminal coronary angioplasty [PTCA]"
89,67,"Intravas msmnt thorc art","Intravascular pressure measurement of intrathoracic arteries"
90,68,"Intravas msmt periph art","Intravascular pressure measurement of peripheral arteries"
91,69,"Intravs msmt ves NEC/NOS","Intravascular pressure measurement, other specified and unspecified vessels"
92,70,"Rev hip repl-acetab/fem","Revision of hip replacement, both acetabular and femoral components"
93,71,"Rev hip repl-acetab comp","Revision of hip replacement, acetabular component"
97,75,"Hip surface, metal/metal","Hip bearing surface, metal-on-metal"
98,76,"Hip surface, cermc/cermc","Hip bearing surface, ceramic-on-ceramic"
100,80,"Rev knee replacemt-total","Revision of knee replacement, total (all components)"
101,81,"Rev knee repl-tibia comp","Revision of knee replacement, tibial component"
102,82,"Rev knee repl-femur comp","Revision of knee replacement, femoral component"
103,83,"Rev knee replace-patella","Revision of knee replacement, patellar component"
104,84,"Rev knee repl-tibia lin","Revision of total knee replacement, tibial insert (liner)"
109,92,"Trnsplnt live nonrel don","Transplant from live non-related donor"
110,93,"Transplant cadaver donor","Transplant from cadaver"
111,94,"Intra-op neurophys montr","Intra-operative neurophysiologic monitoring"
114,101,"Cisternal puncture","Cisternal puncture"
115,102,"Ventricl shunt tube punc","Ventriculopuncture through previously implanted catheter"
116,109,"Cranial puncture NEC","Other cranial puncture"
117,110,"Intracran pressure montr","Intracranial pressure monitoring"
118,111,"Clos cereb meninges bx","Closed [percutaneous] [needle] biopsy of cerebral meninges"
119,112,"Open cereb meninges bx","Open biopsy of cerebral meninges"
121,114,"Open brain biopsy","Open biopsy of brain"
122,115,"Skull biopsy","Biopsy of skull"
123,116,"Intracranial 02 monitor","Intracranial oxygen monitoring"
124,117,"Brain temp monitoring","Brain temperature monitoring"
126,119,"Other skull dx procedure","Other diagnostic procedures on skull"
129,122,"Removal brain stim lead","Removal of intracranial neurostimulator lead(s)"
132,125,"Other craniectomy","Other craniectomy"
133,126,"Ins cath cranial cav/tis","Insertion of catheter(s) into cranial cavity or tissue"
136,129,"Rem brain pulse generatr","Removal of cranial neurostimulator pulse generator"
138,2,"Ther ultrasound of heart","Therapeutic ultrasound of heart"
140,9,"Other therapeutic ultsnd","Other therapeutic ultrasound"
141,10,"Implant chemothera agent","Implantation of chemotherapeutic agent"
142,11,"Infus drotrecogin alfa","Infusion of drotrecogin alfa (activated)"
143,12,"Adm inhal nitric oxide","Administration of inhaled nitric oxide"
147,16,"Pressurized treat graft","Pressurized treatment of venous bypass graft [conduit] with pharmaceutical substance"
149,18,"Infus immunosup antibody","Infusion of immunosuppressive antibody therapy"
150,19,"BBBD via infusion","Disruption of blood brain barrier via infusion [BBBD]"
152,22,"IVUS intrathoracic ves","Intravascular imaging of intrathoracic vessels"
154,24,"IVUS coronary vessels","Intravascular imaging of coronary vessels"
155,25,"IVUS renal vessels","Intravascular imaging of renal vessels"
157,29,"Intravascul imaging NOS","Intravascular imaging, unspecified vessel(s)"
158,31,"CAS w CT/CTA","Computer assisted surgery with CT/CTA"
159,32,"CAS w MR/MRA","Computer assisted surgery with MR/MRA"
160,33,"CAS w fluoroscopy","Computer assisted surgery with fluoroscopy"
162,35,"CAS w multiple datasets","Computer assisted surgery with multiple datasets"
163,39,"Other CAS","Other computer assisted surgery"
164,40,"Procedure-one vessel","Procedure on single vessel"
165,41,"Procedure-two vessels","Procedure on two vessels"
166,42,"Procedure-three vessels","Procedure on three vessels"
167,43,"Procedure-four+ vessels","Procedure on four or more vessels"
168,44,"Proc-vessel bifurcation","Procedure on vessel bifurcation"
169,45,"Insert 1 vascular stent","Insertion of one vascular stent"
170,46,"Insert 2 vascular stents","Insertion of two vascular stents"
172,48,"Insert 4+ vasculr stents","Insertion of four or more vascular stents"
173,49,"SuperSat O2 therapy","Supersaturated oxygen therapy"
174,50,"Impl CRT pacemaker sys","Implantation of cardiac resynchronization pacemaker without mention of defibrillation, total system [CRT-P]"
175,51,"Impl CRT defibrillat sys","Implantation of cardiac resynchronization defibrillator, total system [CRT-D]"
176,52,"Imp/rep lead lf ven sys","Implantation or replacement of transvenous lead [electrode] into left ventricular coronary venous system"
178,54,"Imp/rep CRT defib genat","Implantation or replacement of cardiac resynchronization defibrillator pulse generator only [CRT-D]"
183,59,"Intravasc msmnt cor art","Intravascular pressure measurement of coronary arteries"
184,60,"Ins d-e stnt sup fem art","Insertion of drug-eluting stent(s) of superficial femoral artery"
189,339,"Other spinal dx proc","Other diagnostic procedures on spinal cord and spinal canal structures"
190,34,"Excis spinal cord lesion","Excision or destruction of lesion of spinal cord or spinal meninges"
191,351,"Spine meningocele repair","Repair of spinal meningocele"
193,353,"Vertebral fx repair","Repair of vertebral fracture"
194,359,"Spinal struct repair NEC","Other repair and plastic operations on spinal cord structures"
195,36,"Spinal cord adhesiolysis","Lysis of adhesions of spinal cord and nerve roots"
196,371,"Subarach-periton shunt","Spinal subarachnoid-peritoneal shunt"
197,372,"Subarach-ureteral shunt","Spinal subarachnoid-ureteral shunt"
198,379,"Oth spinal thecal shunt","Other shunt of spinal theca"
202,392,"Spinal canal inject NEC","Injection of other agent into spinal canal"
204,394,"Removal spine stim lead","Removal of spinal neurostimulator lead(s)"
205,395,"Spinal patch","Spinal blood patch"
206,396,"Percutan facet denervat","Percutaneous denervation of facet"
208,398,"Remove spine theca shunt","Removal of spinal thecal shunt"
209,399,"Spine canal struc op NEC","Other operations on spinal cord and spinal canal structures"
210,401,"Excision acoustc neuroma","Excision of acoustic neuroma"
211,402,"Trigeminal nerv division","Division of trigeminal nerve"
212,403,"Periph nerve div NEC","Division or crushing of other cranial and peripheral nerves"
213,404,"Periph nerve incis NEC","Other incision of cranial and peripheral nerves"
214,405,"Gasserian ganglionectomy","Gasserian ganglionectomy"
215,406,"Periph ganglionect NEC","Other cranial or peripheral ganglionectomy"
217,201,"Linear craniectomy","Opening of cranial suture"
218,202,"Elevate skull fx fragmnt","Elevation of skull fracture fragments"
219,203,"Skull flap formation","Formation of cranial bone flap"
221,205,"Skull plate insertion","Insertion of skull plate"
222,206,"Cranial osteoplasty NEC","Other cranial osteoplasty"
223,207,"Skull plate removal","Removal of skull plate"
225,212,"Brain meninge repair NEC","Other repair of cerebral meninges"
227,214,"Choroid plexectomy","Choroid plexectomy"
228,221,"Insert/replace EVD","Insertion or replacement of external ventricular drain [EVD]"
229,222,"Intrcran vent shunt/anas","Intracranial ventricular shunt or anastomosis"
230,231,"Ventricl shunt-head/neck","Ventricular shunt to structure in head and neck"
231,232,"Ventri shunt-circula sys","Ventricular shunt to circulatory system"
232,233,"Ventricl shunt-thorax","Ventricular shunt to thoracic cavity"
233,234,"Ventricl shunt-abdomen","Ventricular shunt to abdominal cavity and organs"
234,235,"Ventri shunt-uninary sys","Ventricular shunt to urinary system"
237,242,"Replace ventricle shunt","Replacement of ventricular shunt"
239,291,"Lysis cortical adhesion","Lysis of cortical adhesions"
240,292,"Brain repair","Repair of brain"
241,293,"Imp/repl brain stim lead","Implantation or replacement of intracranial neurostimulator lead(s)"
242,294,"Insert/replac skull tong","Insertion or replacement of skull tongs or halo traction device"
243,295,"Remove skull tongs","Removal of skull tongs or halo traction device"
244,296,"Insert sphenoid electrod","Insertion of sphenoidal electrodes"
245,299,"Skull & brain op NEC","Other operations on skull, brain, and cerebral meninges"
246,301,"Removal FB spinal canal","Removal of foreign body from spinal canal"
247,302,"Reopen laminectomy site","Reopening of laminectomy site"
248,309,"Spinal canal explor NEC","Other exploration and decompression of spinal canal"
249,31,"Intraspin nerve root div","Division of intraspinal nerve root"
251,329,"Other chordotomy","Other chordotomy"
252,131,"Incise cerebral meninges","Incision of cerebral meninges"
253,132,"Lobotomy & tractotomy","Lobotomy and tractotomy"
254,139,"Other brain incision","Other incision of brain"
255,141,"Thalamus operations","Operations on thalamus"
257,151,"Ex cereb meningeal les","Excision of lesion or tissue of cerebral meninges"
258,152,"Hemispherectomy","Hemispherectomy"
259,153,"Brain lobectomy","Lobectomy of brain"
260,159,"Other brain excision","Other excision or destruction of lesion or tissue of brain"
262,844,"Lid recons entropion rep","Repair of entropion or ectropion with lid reconstruction"
263,849,"Entropion/ectrop rep NEC","Other repair of entropion or ectropion"
265,852,"Blepharorrhaphy","Blepharorrhaphy"
266,859,"Adjust lid position NEC","Other adjustment of lid position"
268,862,"Lid reconst w muc graft","Reconstruction of eyelid with mucous membrane flap or graft"
271,869,"Lid reconstr w graft NEC","Other reconstruction of eyelid with flaps or grafts"
273,871,"Lid marg recon-part thic","Reconstruction of eyelid involving lid margin, partial-thickness"
274,872,"Lid recons-part thic NEC","Other reconstruction of eyelid, partial-thickness"
276,874,"Lid reconst-ful thic NEC","Other reconstruction of eyelid, full-thickness"
277,881,"Linear rep lid lacer","Linear repair of laceration of eyelid or eyebrow"
278,882,"Lid marg lac rx-part th","Repair of laceration involving lid margin, partial-thickness"
279,883,"Lid lacer rx-prt th NEC","Other repair of laceration of eyelid, partial-thickness"
280,884,"Lid marg lac rx-ful thic","Repair of laceration involving lid margin, full-thickness"
281,885,"Lid lac rx-ful thic NEC","Other repair of laceration of eyelid, full-thickness"
282,886,"Lower lid rhytidectomy","Lower eyelid rhytidectomy"
283,887,"Upper lid rhytidectomy","Upper eyelid rhytidectomy"
285,891,"Electrosurg lid epilat","Electrosurgical epilation of eyelid"
286,892,"Cryosurg lid epilation","Cryosurgical epilation of eyelid"
287,893,"Eyelid epilation NEC","Other epilation of eyelid"
288,899,"Eyelid operation NEC","Other operations on eyelids"
289,90,"Lacrimal gland incision","Incision of lacrimal gland"
290,911,"Lacrimal gland biopsy","Biopsy of lacrimal gland"
293,920,"Exc lacrimal gland NOS","Excision of lacrimal gland, not otherwise specified"
294,921,"Excis les lacrimal gland","Excision of lesion of lacrimal gland"
295,922,"Part dacryoadenect NEC","Other partial dacryoadenectomy"
296,923,"Total dacryoadenectomy","Total dacryoadenectomy"
298,941,"Lacrimal punctum probe","Probing of lacrimal punctum"
299,942,"Lac canaliculi probe","Probing of lacrimal canaliculi"
300,943,"Nasolacrimal duct probe","Probing of nasolacrimal duct"
301,944,"Nasolac duct intubat","Intubation of nasolacrimal duct"
302,949,"Lac passage manip NEC","Other manipulation of lacrimal passage"
303,951,"Lac punctum incision","Incision of lacrimal punctum"
304,952,"Lac canaliculi incision","Incision of lacrimal canaliculi"
307,96,"Lacrim sac/passage excis","Excision of lacrimal sac and passage"
308,971,"Correct everted punctum","Correction of everted punctum"
309,972,"Punctum repair NEC","Other repair of punctum"
310,973,"Canaliculus repair","Repair of canaliculus"
311,981,"Dacryocystorhinostomy","Dacryocystorhinostomy [DCR]"
313,983,"Conjunctivorhinos w tube","Conjunctivorhinostomy with insertion of tube or stent"
314,411,"Clos periph nerve biopsy","Closed [percutaneous] [needle] biopsy of cranial or peripheral nerve or ganglion"
315,412,"Open periph nerve biopsy","Open biopsy of cranial or peripheral nerve or ganglion"
317,42,"Periph nerve destruction","Destruction of cranial and peripheral nerves"
318,43,"Peripheral nerve suture","Suture of cranial and peripheral nerves"
321,443,"Carpal tunnel release","Release of carpal tunnel"
322,444,"Tarsal tunnel release","Release of tarsal tunnel"
323,449,"Per nerve adhesiolys NEC","Other peripheral nerve or ganglion decompression or lysis of adhesions"
324,45,"Peripheral nerve graft","Cranial or peripheral nerve graft"
325,46,"Periph nerve transposit","Transposition of cranial and peripheral nerves"
327,472,"Accessory-facial anastom","Accessory-facial anastomosis"
332,479,"Other neuroplasty","Other neuroplasty"
333,480,"Periph nerve inject NOS","Peripheral nerve injection, not otherwise specified"
334,481,"Anesth injec periph nerv","Injection of anesthetic into peripheral nerve for analgesia"
335,489,"Periph nerve inject NEC","Injection of other agent, except neurolytic"
336,491,"Neurectasis","Neurectasis"
337,492,"Imp/repl peri stim lead","Implantation or replacement of peripheral neurostimulator lead(s)"
338,493,"Removal peri stim lead","Removal of peripheral neurostimulator lead(s)"
340,50,"Sympath nerve division","Division of sympathetic nerve or ganglion"
341,511,"Sympathetic nerve biopsy","Biopsy of sympathetic nerve or ganglion"
342,519,"Sympath nrv dx proc NEC","Other diagnostic procedures on sympathetic nerves or ganglia"
344,522,"Cervical sympathectomy","Cervical sympathectomy"
345,523,"Lumbar sympathectomy","Lumbar sympathectomy"
346,524,"Presacral sympathectomy","Presacral sympathectomy"
348,529,"Other sympathectomy","Other sympathectomy and ganglionectomy"
351,539,"Sympath nerve inject NEC","Other injection into sympathetic nerve or ganglion"
352,581,"Sympathetic nerve repair","Repair of sympathetic nerve or ganglion"
353,589,"Sympathetic nerve op NEC","Other operations on sympathetic nerves or ganglia"
354,59,"Other nervous system ops","Other operations on nervous system"
356,602,"Reopen thyroid field wnd","Reopening of wound of thyroid field"
357,609,"Incis thyroid field NEC","Other incision of thyroid field"
359,612,"Open thyroid gland bx","Open biopsy of thyroid gland"
360,613,"Parathyroid biopsy","Biopsy of parathyroid gland"
361,619,"Thyr/parathy dx proc NEC","Other diagnostic procedures on thyroid and parathyroid glands"
362,62,"Unilat thyroid lobectomy","Unilateral thyroid lobectomy"
363,631,"Excision thyroid lesion","Excision of lesion of thyroid"
