"row_id","itemid","label","abbreviation","dbsource","linksto","category","unitname","param_type","conceptid"
3,1437,"Tremor","","carevue","chartevents","","","",NA
5,1439,"Visual Disturbances","","carevue","chartevents","","","",NA
6,1447,"Transpulmonary Pres","","carevue","chartevents","","","",NA
8,1449,"Arterial BP(Rad)","","carevue","chartevents","","","",NA
9,1450,"level one","","carevue","chartevents","","","",NA
11,1452,"#1 chest tube irrig.","","carevue","chartevents","","","",NA
14,1455,"fingerstick glucose","","carevue","chartevents","","","",NA
15,1456,"popliteal pulse r/l","","carevue","chartevents","","","",NA
18,1459,"gluteral drsg change","","carevue","chartevents","","","",NA
19,1460,"D5W 100meq NaHC03","","carevue","chartevents","","","",NA
20,1462,"wrist  restraints","","carevue","chartevents","","","",NA
22,1464,"ZZZly Wake Up","","carevue","chartevents","","","",NA
25,1467,"Pericare","","carevue","chartevents","","","",NA
26,1468,"HI/Minute/Vol/alarm","","carevue","chartevents","","","",NA
27,1,"% Inspir. Time","","carevue","chartevents","","","",NA
29,3,"ABI (R)","","carevue","chartevents","","","",NA
33,24,"ART Lumen Volume","","carevue","chartevents","","","",NA
34,25,"AV Interval","","carevue","chartevents","","","",NA
35,26,"AaDO2","","carevue","chartevents","","","",NA
37,28,"Abdominal Girth","","carevue","chartevents","","","",NA
38,29,"Access mmHg","","carevue","chartevents","","","",NA
40,32,"Activity Tolerance","","carevue","chartevents","","","",NA
41,34,"Add Gas Flow (Vent)","","carevue","chartevents","","","",NA
42,35,"Additional Gas (lpm)","","carevue","chartevents","","","",NA
43,36,"Additional Gas(Mask)","","carevue","chartevents","","","",NA
45,38,"Airway","","carevue","chartevents","","","",NA
48,41,"Alarms Activated","","carevue","chartevents","","","",NA
50,44,"Angio Appearance #2 [Attribute 1]","","carevue","chartevents","","","",NA
51,45,"Angio Dressing #1","","carevue","chartevents","","","",NA
52,46,"Angio Dressing #2","","carevue","chartevents","","","",NA
53,47,"Angio Site #1","","carevue","chartevents","","","",NA
55,49,"Anti-Embolism [Device]","","carevue","chartevents","","","",NA
57,51,"Arterial BP [Systolic]","","carevue","chartevents","","","",NA
58,52,"Arterial BP Mean","","carevue","chartevents","","","",NA
59,53,"Arterial Pressure","","carevue","chartevents","","","",NA
60,54,"Assistance Device","","carevue","chartevents","","","",NA
61,55,"Assisted Systole","","carevue","chartevents","","","",NA
64,58,"Atrial Pacemaker [mA]","","carevue","chartevents","","","",NA
66,60,"Auto-PEEP Level","","carevue","chartevents","","","",NA
67,61,"AvDO2","","carevue","chartevents","","","",NA
69,63,"BIPAP - BPM","","carevue","chartevents","","","",NA
70,64,"BIPAP - EPAP","","carevue","chartevents","","","",NA
71,65,"BIPAP - Est. Vt","","carevue","chartevents","","","",NA
72,66,"BIPAP - IPAP","","carevue","chartevents","","","",NA
73,67,"BIPAP - O2 lpm","","carevue","chartevents","","","",NA
74,68,"BIPAP-Mode","","carevue","chartevents","","","",NA
75,69,"BSA","","carevue","chartevents","","","",NA
77,71,"BSA - Metric","","carevue","chartevents","","","",NA
78,72,"Back Care","","carevue","chartevents","","","",NA
79,74,"Base Excess","","carevue","chartevents","","","",NA
80,75,"Baseline Current/mA","","carevue","chartevents","","","",NA
81,76,"Bath","","carevue","chartevents","","","",NA
82,77,"Behavior","","carevue","chartevents","","","",NA
83,78,"Bladder Irrigation","","carevue","chartevents","","","",NA
84,79,"Blood Flow ml/min","","carevue","chartevents","","","",NA
86,81,"Brachial Pulse [Right]","","carevue","chartevents","","","",NA
87,82,"Braden Activity","","carevue","chartevents","","","",NA
88,83,"Braden Frict/Shear","","carevue","chartevents","","","",NA
89,84,"Braden Mobility","","carevue","chartevents","","","",NA
90,85,"Braden Moisture","","carevue","chartevents","","","",NA
91,86,"Braden Nutrition","","carevue","chartevents","","","",NA
92,87,"Braden Score","","carevue","chartevents","","","",NA
93,88,"Braden SensoryPercep","","carevue","chartevents","","","",NA
97,92,"CPP","","carevue","chartevents","","","",NA
98,93,"CT #1 Crepitus","","carevue","chartevents","","","",NA
100,95,"CT #1 Dressing","","carevue","chartevents","","","",NA
101,96,"CT #1 [Fluctuate]","","carevue","chartevents","","","",NA
102,97,"CT #1 Suction Amount","","carevue","chartevents","","","",NA
103,98,"CT #2 Crepitus","","carevue","chartevents","","","",NA
104,99,"CT #2 Drainage","","carevue","chartevents","","","",NA
109,104,"CT #3 Drainage","","carevue","chartevents","","","",NA
110,105,"CT #3 Dressing","","carevue","chartevents","","","",NA
111,106,"CT #3 [Fluctuate]","","carevue","chartevents","","","",NA
114,109,"CT #4 Drainage","","carevue","chartevents","","","",NA
115,110,"CT #4 Dressing","","carevue","chartevents","","","",NA
116,111,"CT #4 [Fluctuate]","","carevue","chartevents","","","",NA
117,112,"CT #4 Suction Amount","","carevue","chartevents","","","",NA
118,113,"CVP","","carevue","chartevents","","","",NA
119,114,"CaO2","","carevue","chartevents","","","",NA
121,116,"Cardiac Index","","carevue","chartevents","","","",NA
122,117,"Catheter Insert Date","","carevue","chartevents","","","",NA
123,118,"Cerv Collar Status","","carevue","chartevents","","","",NA
124,119,"Cervical Collar Type","","carevue","chartevents","","","",NA
126,122,"Chest Tube Site #1","","carevue","chartevents","","","",NA
129,125,"Chest Tube Site #4","","carevue","chartevents","","","",NA
132,129,"Collar Care","","carevue","chartevents","","","",NA
133,130,"Communication","","carevue","chartevents","","","",NA
136,133,"Cont.Nebulizer(Drug)","","carevue","chartevents","","","",NA
138,135,"Corneal Reflex [Right]","","carevue","chartevents","","","",NA
140,137,"Cough Reflex","","carevue","chartevents","","","",NA
141,138,"Cough Type","","carevue","chartevents","","","",NA
142,139,"Cough/Deep Breathe","","carevue","chartevents","","","",NA
143,140,"Cuff Leak","","carevue","chartevents","","","",NA
147,146,"Dialysate Flow ml/hr","","carevue","chartevents","","","",NA
149,148,"Dialysis Access Site","","carevue","chartevents","","","",NA
150,149,"Dialysis Access Type","","carevue","chartevents","","","",NA
152,151,"Dialysis Site Appear","","carevue","chartevents","","","",NA
154,153,"Diastolic Unloading","","carevue","chartevents","","","",NA
155,154,"Diet Type","","carevue","chartevents","","","",NA
157,156,"Dorsal PedPulse [Right]","","carevue","chartevents","","","",NA
158,157,"ETT [Mark]","","carevue","chartevents","","","",NA
159,158,"ETT Position Change","","carevue","chartevents","","","",NA
160,159,"Ectopy Frequency","","carevue","chartevents","","","",NA
162,161,"Ectopy Type","","carevue","chartevents","","","",NA
163,162,"Ectopy Type 2","","carevue","chartevents","","","",NA
164,163,"Edema #1 [Location]","","carevue","chartevents","","","",NA
165,164,"Edema #2 [Location]","","carevue","chartevents","","","",NA
166,165,"Education Barrier","","carevue","chartevents","","","",NA
167,166,"Education Handout","","carevue","chartevents","","","",NA
168,167,"Education Learner","","carevue","chartevents","","","",NA
169,168,"Education Method","","carevue","chartevents","","","",NA
170,169,"Education Readiness","","carevue","chartevents","","","",NA
172,171,"Education Topic #1","","carevue","chartevents","","","",NA
173,172,"Education Topic #2","","carevue","chartevents","","","",NA
174,173,"Effluent Press mmHg","","carevue","chartevents","","","",NA
175,174,"Emesis [Appearance]","","carevue","chartevents","","","",NA
176,175,"Energy Expenditure","","carevue","chartevents","","","",NA
178,177,"Epidural Appearance","","carevue","chartevents","","","",NA
183,182,"Extubation Date","","carevue","chartevents","","","",NA
184,183,"Eye Care","","carevue","chartevents","","","",NA
189,188,"Femoral Pulse [Right]","","carevue","chartevents","","","",NA
190,189,"FiO2 (Analyzed)","","carevue","chartevents","","","",NA
191,190,"FiO2 Set","","carevue","chartevents","","","",NA
193,192,"Filter Pressure mmHg","","carevue","chartevents","","","",NA
194,193,"Flatus","","carevue","chartevents","","","",NA
195,194,"Flow-By (lpm)","","carevue","chartevents","","","",NA
196,195,"Flow-by Sensitivity","","carevue","chartevents","","","",NA
197,196,"Foley Care","","carevue","chartevents","","","",NA
198,197,"Follows Commands","","carevue","chartevents","","","",NA
202,201,"GI Intub #2 [Type]","","carevue","chartevents","","","",NA
204,203,"GI#1 Tube [Status]","","carevue","chartevents","","","",NA
205,204,"GI#2 Tube PlaceCheck","","carevue","chartevents","","","",NA
206,205,"GI#2 Tube [Status]","","carevue","chartevents","","","",NA
208,207,"GU Catheter Size","","carevue","chartevents","","","",NA
209,208,"Gag Reflex","","carevue","chartevents","","","",NA
210,209,"Graft/Flap Pulse","","carevue","chartevents","","","",NA
211,210,"HOB","","carevue","chartevents","","","",NA
212,211,"Heart Rate","","carevue","chartevents","","","",NA
213,212,"Heart Rhythm","","carevue","chartevents","","","",NA
214,213,"Heart Sounds","","carevue","chartevents","","","",NA
215,216,"Height of Bed","","carevue","chartevents","","","",NA
217,218,"High Insp. Pressure","","carevue","chartevents","","","",NA
218,219,"High Resp. Rate","","carevue","chartevents","","","",NA
219,221,"I:E Ratio","","carevue","chartevents","","","",NA
221,223,"I:E Ratio-TCPCV","","carevue","chartevents","","","",NA
222,224,"IABP Mean","","carevue","chartevents","","","",NA
223,225,"IABP setting","","carevue","chartevents","","","",NA
225,227,"INV Line#1 D/C Date","","carevue","chartevents","","","",NA
227,229,"INV Line#1 [Type]","","carevue","chartevents","","","",NA
228,230,"INV Line#1 Zero/Cal","","carevue","chartevents","","","",NA
229,231,"INV Line#1InsertDate","","carevue","chartevents","","","",NA
230,232,"INV Line#1SiteAppear","","carevue","chartevents","","","",NA
231,233,"INV Line#2 D/C Date","","carevue","chartevents","","","",NA
232,234,"INV Line#2 Site Date","","carevue","chartevents","","","",NA
233,235,"INV Line#2 [Type]","","carevue","chartevents","","","",NA
234,236,"INV Line#2 Zero/Cal","","carevue","chartevents","","","",NA
237,239,"INV Line#3 D/C Date","","carevue","chartevents","","","",NA
239,241,"INV Line#3 [Type]","","carevue","chartevents","","","",NA
240,242,"INV Line#3 Zero/Cal","","carevue","chartevents","","","",NA
241,243,"INV Line#3InsertDate","","carevue","chartevents","","","",NA
242,244,"INV Line#3SiteAppear","","carevue","chartevents","","","",NA
243,245,"INV Line#4 D/C Date","","carevue","chartevents","","","",NA
244,246,"INV Line#4 Site Date","","carevue","chartevents","","","",NA
245,247,"INV Line#4 [Type]","","carevue","chartevents","","","",NA
246,248,"INV Line#4 Zero/Cal","","carevue","chartevents","","","",NA
247,249,"INV Line#4InsertDate","","carevue","chartevents","","","",NA
248,250,"INV Line#4SiteAppear","","carevue","chartevents","","","",NA
249,251,"INV Line#5 D/C Date","","carevue","chartevents","","","",NA
251,253,"INV Line#5 [Type]","","carevue","chartevents","","","",NA
252,254,"INV Line#5 Zero/Cal","","carevue","chartevents","","","",NA
253,255,"INV Line#5InsertDate","","carevue","chartevents","","","",NA
