"row_id","itemid","label","fluid","category","loinc_code"
3,50802,"Base Excess","Blood","Blood Gas","11555-0"
5,50804,"Calculated Total CO2","Blood","Blood Gas","34728-6"
6,50805,"Carboxyhemoglobin","Blood","Blood Gas","20563-3"
8,50807,"Comments","Blood","Blood Gas",""
9,50808,"Free Calcium","Blood","Blood Gas","1994-3"
11,50810,"Hematocrit, Calculated","Blood","Blood Gas","20570-8"
14,50813,"Lactate","Blood","Blood Gas","32693-4"
15,50814,"Methemoglobin","Blood","Blood Gas","2614-6"
18,50817,"Oxygen Saturation","Blood","Blood Gas","20564-1"
19,50818,"pCO2","Blood","Blood Gas","11557-6"
20,50819,"PEEP","Blood","Blood Gas","20077-4"
22,50821,"pO2","Blood","Blood Gas","11556-8"
25,50824,"Sodium, Whole Blood","Blood","Blood Gas","2947-0"
26,50825,"Temperature","Blood","Blood Gas",""
27,50826,"Tidal Volume","Blood","Blood Gas","20112-9"
29,50828,"Ventilator","Blood","Blood Gas",""
33,50832,"pO2, Body Fluid","Other Body Fluid","Blood Gas","2706-0"
34,50833,"Potassium","Other Body Fluid","Blood Gas","2821-7"
35,50834,"Sodium, Body Fluid","Other Body Fluid","Blood Gas","2950-4"
37,50836,"Amylase, Ascites","Ascites","Chemistry","1797-0"
38,50837,"Bicarbonate, Ascites","Ascites","Chemistry","54360-3"
40,50839,"Chloride, Ascites","Ascites","Chemistry","33366-6"
41,50840,"Cholesterol, Ascites","Ascites","Chemistry","14441-0"
42,50841,"Creatinine, Ascites","Ascites","Chemistry","12191-3"
43,50842,"Glucose, Ascites","Ascites","Chemistry","2347-3"
45,50844,"Lipase, Ascites","Ascites","Chemistry","32722-1"
48,50847,"Potassium, Ascites","Ascites","Chemistry","49789-1"
50,50849,"Total Protein, Ascites","Ascites","Chemistry","2883-7"
51,50850,"Triglycerides, Ascites","Ascites","Chemistry","14447-7"
52,50851,"Urea Nitrogen, Ascites","Ascites","Chemistry","12265-5"
53,50852,"% Hemoglobin A1c","Blood","Chemistry","4548-4"
55,50854,"Absolute A1c","Blood","Chemistry","4548-4"
57,50856,"Acetaminophen","Blood","Chemistry","3297-9"
58,50857,"Acetone","Blood","Chemistry","5567-3"
59,50858,"Acid Phosphatase","Blood","Chemistry","1715-2"
60,50859,"Acid Phosphatase, Non-Prostatic","Blood","Chemistry",""
61,50860,"AFP, Maternal Screen","Blood","Chemistry",""
64,50863,"Alkaline Phosphatase","Blood","Chemistry","6768-6"
66,50865,"Amikacin","Blood","Chemistry",""
67,50866,"Ammonia","Blood","Chemistry","16362-6"
69,50868,"Anion Gap","Blood","Chemistry","1863-0"
70,50869,"Anti-DGP (IgA/IgG)","Blood","Chemistry",""
71,50870,"Anti-Gliadin Antibody, IgA","Blood","Chemistry","7893-1"
72,50871,"Anti-Mitochondrial Antibody","Blood","Chemistry","14236-4"
73,50872,"Anti-Neutrophil Cytoplasmic Antibody","Blood","Chemistry","35279-9"
74,50873,"Anti-Nuclear Antibody","Blood","Chemistry","5047-6"
75,50874,"Anti-Nuclear Antibody, Titer","Blood","Chemistry","8061-4"
77,50876,"Anti-Smooth Muscle Antibody","Blood","Chemistry","14252-1"
78,50877,"Anti-Thyroglobulin Antibodies","Blood","Chemistry","5380-1"
79,50878,"Asparate Aminotransferase (AST)","Blood","Chemistry","1920-8"
80,50879,"Barbiturate Screen","Blood","Chemistry","3376-1"
81,50880,"Benzodiazepine Screen","Blood","Chemistry","42662-7"
82,50881,"Beta-2 Microglobulin","Blood","Chemistry","32731-2"
83,50882,"Bicarbonate","Blood","Chemistry","1963-8"
84,50883,"Bilirubin, Direct","Blood","Chemistry","1968-7"
86,50885,"Bilirubin, Total","Blood","Chemistry","1975-2"
87,50886,"Blood Culture Hold","Blood","Chemistry",""
